year,location,education_level,status,value
2020,Alberta,"Total, all education levels","Employed, not in education",47.0
2021,Alberta,"Total, all education levels","Employed, not in education",45.0
2022,Alberta,"Total, all education levels","Employed, not in education",44.0
2004,Alberta,"Total, all education levels","Sub-total, not in employment, education or training (NEET)",11.0
2005,Alberta,"Total, all education levels","Sub-total, not in employment, education or training (NEET)",10.0
2006,Alberta,"Total, all education levels","Sub-total, not in employment, education or training (NEET)",9.0
2007,Alberta,"Total, all education levels","Sub-total, not in employment, education or training (NEET)",10.0
2008,Alberta,"Total, all education levels","Sub-total, not in employment, education or training (NEET)",10.0
2009,Alberta,"Total, all education levels","Sub-total, not in employment, education or training (NEET)",12.0
2010,Alberta,"Total, all education levels","Sub-total, not in employment, education or training (NEET)",11.0
2011,Alberta,"Total, all education levels","Sub-total, not in employment, education or training (NEET)",12.0
2012,Alberta,"Total, all education levels","Sub-total, not in employment, education or training (NEET)",11.0
2013,Alberta,"Total, all education levels","Sub-total, not in employment, education or training (NEET)",10.0
2014,Alberta,"Total, all education levels","Sub-total, not in employment, education or training (NEET)",12.0
2015,Alberta,"Total, all education levels","Sub-total, not in employment, education or training (NEET)",11.0
2016,Alberta,"Total, all education levels","Sub-total, not in employment, education or training (NEET)",13.0
2017,Alberta,"Total, all education levels","Sub-total, not in employment, education or training (NEET)",13.0
2018,Alberta,"Total, all education levels","Sub-total, not in employment, education or training (NEET)",13.0
2019,Alberta,"Total, all education levels","Sub-total, not in employment, education or training (NEET)",12.0
2020,Alberta,"Total, all education levels","Sub-total, not in employment, education or training (NEET)",15.0
2021,Alberta,"Total, all education levels","Sub-total, not in employment, education or training (NEET)",13.0
2022,Alberta,"Total, all education levels","Sub-total, not in employment, education or training (NEET)",11.0
2004,British Columbia,"Total, all education levels","Total, in education and not in education",100.0
2005,British Columbia,"Total, all education levels","Total, in education and not in education",100.0
2006,British Columbia,"Total, all education levels","Total, in education and not in education",100.0
2007,British Columbia,"Total, all education levels","Total, in education and not in education",100.0
2008,British Columbia,"Total, all education levels","Total, in education and not in education",100.0
2009,British Columbia,"Total, all education levels","Total, in education and not in education",100.0
2010,British Columbia,"Total, all education levels","Total, in education and not in education",100.0
2011,British Columbia,"Total, all education levels","Total, in education and not in education",100.0
2012,British Columbia,"Total, all education levels","Total, in education and not in education",100.0
2013,British Columbia,"Total, all education levels","Total, in education and not in education",100.0
2014,British Columbia,"Total, all education levels","Total, in education and not in education",100.0
2015,British Columbia,"Total, all education levels","Total, in education and not in education",100.0
2016,British Columbia,"Total, all education levels","Total, in education and not in education",100.0
2017,British Columbia,"Total, all education levels","Total, in education and not in education",100.0
2018,British Columbia,"Total, all education levels","Total, in education and not in education",100.0
2019,British Columbia,"Total, all education levels","Total, in education and not in education",100.0
2020,British Columbia,"Total, all education levels","Total, in education and not in education",100.0
2021,British Columbia,"Total, all education levels","Total, in education and not in education",100.0
2022,British Columbia,"Total, all education levels","Total, in education and not in education",100.0
2004,British Columbia,"Total, all education levels","Total, in education",44.0
2005,British Columbia,"Total, all education levels","Total, in education",43.0
2006,British Columbia,"Total, all education levels","Total, in education",45.0
2007,British Columbia,"Total, all education levels","Total, in education",43.0
2008,British Columbia,"Total, all education levels","Total, in education",43.0
2009,British Columbia,"Total, all education levels","Total, in education",41.0
2010,British Columbia,"Total, all education levels","Total, in education",43.0
2011,British Columbia,"Total, all education levels","Total, in education",43.0
2012,British Columbia,"Total, all education levels","Total, in education",44.0
2013,British Columbia,"Total, all education levels","Total, in education",43.0
2014,British Columbia,"Total, all education levels","Total, in education",42.0
2015,British Columbia,"Total, all education levels","Total, in education",41.0
2016,British Columbia,"Total, all education levels","Total, in education",41.0
2017,British Columbia,"Total, all education levels","Total, in education",41.0
2018,British Columbia,"Total, all education levels","Total, in education",42.0
2019,British Columbia,"Total, all education levels","Total, in education",42.0
2020,British Columbia,"Total, all education levels","Total, in education",41.0
2021,British Columbia,"Total, all education levels","Total, in education",42.0
2022,British Columbia,"Total, all education levels","Total, in education",41.0
2004,British Columbia,"Total, all education levels","Employed, in education",17.0
2005,British Columbia,"Total, all education levels","Employed, in education",16.0
2006,British Columbia,"Total, all education levels","Employed, in education",19.0
2007,British Columbia,"Total, all education levels","Employed, in education",18.0
2008,British Columbia,"Total, all education levels","Employed, in education",21.0
2009,British Columbia,"Total, all education levels","Employed, in education",17.0
2010,British Columbia,"Total, all education levels","Employed, in education",17.0
2011,British Columbia,"Total, all education levels","Employed, in education",17.0
2012,British Columbia,"Total, all education levels","Employed, in education",17.0
2013,British Columbia,"Total, all education levels","Employed, in education",16.0
2014,British Columbia,"Total, all education levels","Employed, in education",16.0
2015,British Columbia,"Total, all education levels","Employed, in education",16.0
2016,British Columbia,"Total, all education levels","Employed, in education",16.0
2017,British Columbia,"Total, all education levels","Employed, in education",18.0
2018,British Columbia,"Total, all education levels","Employed, in education",19.0
2019,British Columbia,"Total, all education levels","Employed, in education",20.0
2020,British Columbia,"Total, all education levels","Employed, in education",16.0
2021,British Columbia,"Total, all education levels","Employed, in education",17.0
2022,British Columbia,"Total, all education levels","Employed, in education",19.0
2004,British Columbia,"Total, all education levels","Total, not in education",56.0
2005,British Columbia,"Total, all education levels","Total, not in education",57.0
2006,British Columbia,"Total, all education levels","Total, not in education",55.0
2007,British Columbia,"Total, all education levels","Total, not in education",57.0
2008,British Columbia,"Total, all education levels","Total, not in education",57.0
2009,British Columbia,"Total, all education levels","Total, not in education",59.0
2010,British Columbia,"Total, all education levels","Total, not in education",57.0
2011,British Columbia,"Total, all education levels","Total, not in education",57.0
2012,British Columbia,"Total, all education levels","Total, not in education",56.0
2013,British Columbia,"Total, all education levels","Total, not in education",57.0
2014,British Columbia,"Total, all education levels","Total, not in education",58.0
2015,British Columbia,"Total, all education levels","Total, not in education",59.0
2016,British Columbia,"Total, all education levels","Total, not in education",59.0
2017,British Columbia,"Total, all education levels","Total, not in education",59.0
2018,British Columbia,"Total, all education levels","Total, not in education",58.0
2019,British Columbia,"Total, all education levels","Total, not in education",58.0
2020,British Columbia,"Total, all education levels","Total, not in education",59.0
2021,British Columbia,"Total, all education levels","Total, not in education",58.0
2022,British Columbia,"Total, all education levels","Total, not in education",59.0
2004,British Columbia,"Total, all education levels","Employed, not in education",43.0
2005,British Columbia,"Total, all education levels","Employed, not in education",45.0
2006,British Columbia,"Total, all education levels","Employed, not in education",46.0
2007,British Columbia,"Total, all education levels","Employed, not in education",47.0
2008,British Columbia,"Total, all education levels","Employed, not in education",47.0
2009,British Columbia,"Total, all education levels","Employed, not in education",46.0
2010,British Columbia,"Total, all education levels","Employed, not in education",44.0
2011,British Columbia,"Total, all education levels","Employed, not in education",44.0
2012,British Columbia,"Total, all education levels","Employed, not in education",42.0
2013,British Columbia,"Total, all education levels","Employed, not in education",45.0
2014,British Columbia,"Total, all education levels","Employed, not in education",45.0
2015,British Columbia,"Total, all education levels","Employed, not in education",45.0
2016,British Columbia,"Total, all education levels","Employed, not in education",47.0
2017,British Columbia,"Total, all education levels","Employed, not in education",49.0
2018,British Columbia,"Total, all education levels","Employed, not in education",47.0
2019,British Columbia,"Total, all education levels","Employed, not in education",47.0
2020,British Columbia,"Total, all education levels","Employed, not in education",45.0
2021,British Columbia,"Total, all education levels","Employed, not in education",45.0
2022,British Columbia,"Total, all education levels","Employed, not in education",49.0
2004,British Columbia,"Total, all education levels","Sub-total, not in employment, education or training (NEET)",13.0
2005,British Columbia,"Total, all education levels","Sub-total, not in employment, education or training (NEET)",12.0
2006,British Columbia,"Total, all education levels","Sub-total, not in employment, education or training (NEET)",10.0
2007,British Columbia,"Total, all education levels","Sub-total, not in employment, education or training (NEET)",11.0
2008,British Columbia,"Total, all education levels","Sub-total, not in employment, education or training (NEET)",10.0
2009,British Columbia,"Total, all education levels","Sub-total, not in employment, education or training (NEET)",13.0
2010,British Columbia,"Total, all education levels","Sub-total, not in employment, education or training (NEET)",13.0
2011,British Columbia,"Total, all education levels","Sub-total, not in employment, education or training (NEET)",13.0
2012,British Columbia,"Total, all education levels","Sub-total, not in employment, education or training (NEET)",13.0
2013,British Columbia,"Total, all education levels","Sub-total, not in employment, education or training (NEET)",12.0
2014,British Columbia,"Total, all education levels","Sub-total, not in employment, education or training (NEET)",13.0
2015,British Columbia,"Total, all education levels","Sub-total, not in employment, education or training (NEET)",13.0
2016,British Columbia,"Total, all education levels","Sub-total, not in employment, education or training (NEET)",12.0
2017,British Columbia,"Total, all education levels","Sub-total, not in employment, education or training (NEET)",11.0
2018,British Columbia,"Total, all education levels","Sub-total, not in employment, education or training (NEET)",11.0
2019,British Columbia,"Total, all education levels","Sub-total, not in employment, education or training (NEET)",10.0
2020,British Columbia,"Total, all education levels","Sub-total, not in employment, education or training (NEET)",14.0
2021,British Columbia,"Total, all education levels","Sub-total, not in employment, education or training (NEET)",13.0
2022,British Columbia,"Total, all education levels","Sub-total, not in employment, education or training (NEET)",10.0
2004,Yukon,"Total, all education levels","Total, in education and not in education",100.0
2005,Yukon,"Total, all education levels","Total, in education and not in education",100.0
2006,Yukon,"Total, all education levels","Total, in education and not in education",100.0
2007,Yukon,"Total, all education levels","Total, in education and not in education",100.0
2008,Yukon,"Total, all education levels","Total, in education and not in education",100.0
2009,Yukon,"Total, all education levels","Total, in education and not in education",100.0
2010,Yukon,"Total, all education levels","Total, in education and not in education",100.0
2011,Yukon,"Total, all education levels","Total, in education and not in education",100.0
2012,Yukon,"Total, all education levels","Total, in education and not in education",100.0
2013,Yukon,"Total, all education levels","Total, in education and not in education",100.0
2014,Yukon,"Total, all education levels","Total, in education and not in education",100.0
2015,Yukon,"Total, all education levels","Total, in education and not in education",100.0
2016,Yukon,"Total, all education levels","Total, in education and not in education",100.0
2017,Yukon,"Total, all education levels","Total, in education and not in education",100.0
2018,Yukon,"Total, all education levels","Total, in education and not in education",100.0
2019,Yukon,"Total, all education levels","Total, in education and not in education",100.0
2020,Yukon,"Total, all education levels","Total, in education and not in education",100.0
2021,Yukon,"Total, all education levels","Total, in education and not in education",100.0
2022,Yukon,"Total, all education levels","Total, in education and not in education",100.0
2004,Yukon,"Total, all education levels","Total, in education",45.0
2005,Yukon,"Total, all education levels","Total, in education",39.0
2006,Yukon,"Total, all education levels","Total, in education",39.0
2007,Yukon,"Total, all education levels","Total, in education",39.0
2008,Yukon,"Total, all education levels","Total, in education",38.0
2009,Yukon,"Total, all education levels","Total, in education",32.0
2010,Yukon,"Total, all education levels","Total, in education",37.0
2011,Yukon,"Total, all education levels","Total, in education",34.0
2012,Yukon,"Total, all education levels","Total, in education",32.0
2013,Yukon,"Total, all education levels","Total, in education",35.0
2014,Yukon,"Total, all education levels","Total, in education",35.0
2015,Yukon,"Total, all education levels","Total, in education",37.0
2016,Yukon,"Total, all education levels","Total, in education",36.0
2017,Yukon,"Total, all education levels","Total, in education",36.0
2018,Yukon,"Total, all education levels","Total, in education",34.0
2019,Yukon,"Total, all education levels","Total, in education",42.0
2020,Yukon,"Total, all education levels","Total, in education",37.0
2021,Yukon,"Total, all education levels","Total, in education",46.0
2022,Yukon,"Total, all education levels","Total, in education",38.0
2004,Yukon,"Total, all education levels","Employed, in education",15.0
2005,Yukon,"Total, all education levels","Employed, in education",15.0
2006,Yukon,"Total, all education levels","Employed, in education",12.0
2007,Yukon,"Total, all education levels","Employed, in education",14.0
2008,Yukon,"Total, all education levels","Employed, in education",15.0
2009,Yukon,"Total, all education levels","Employed, in education",9.0
2010,Yukon,"Total, all education levels","Employed, in education",12.0
2011,Yukon,"Total, all education levels","Employed, in education",11.0
2012,Yukon,"Total, all education levels","Employed, in education",12.0
2013,Yukon,"Total, all education levels","Employed, in education",12.0
2014,Yukon,"Total, all education levels","Employed, in education",10.0
2015,Yukon,"Total, all education levels","Employed, in education",11.0
2016,Yukon,"Total, all education levels","Employed, in education",11.0
2017,Yukon,"Total, all education levels","Employed, in education",14.0
2018,Yukon,"Total, all education levels","Employed, in education",11.0
2019,Yukon,"Total, all education levels","Employed, in education",15.0
2020,Yukon,"Total, all education levels","Employed, in education",14.0
2021,Yukon,"Total, all education levels","Employed, in education",17.0
2022,Yukon,"Total, all education levels","Employed, in education",18.0
2004,Yukon,"Total, all education levels","Total, not in education",55.0
2005,Yukon,"Total, all education levels","Total, not in education",61.0
2006,Yukon,"Total, all education levels","Total, not in education",61.0
2007,Yukon,"Total, all education levels","Total, not in education",61.0
2008,Yukon,"Total, all education levels","Total, not in education",62.0
2009,Yukon,"Total, all education levels","Total, not in education",68.0
2010,Yukon,"Total, all education levels","Total, not in education",63.0
2011,Yukon,"Total, all education levels","Total, not in education",66.0
2012,Yukon,"Total, all education levels","Total, not in education",68.0
2013,Yukon,"Total, all education levels","Total, not in education",65.0
2014,Yukon,"Total, all education levels","Total, not in education",65.0
2015,Yukon,"Total, all education levels","Total, not in education",63.0
2016,Yukon,"Total, all education levels","Total, not in education",64.0
2017,Yukon,"Total, all education levels","Total, not in education",64.0
2018,Yukon,"Total, all education levels","Total, not in education",66.0
2019,Yukon,"Total, all education levels","Total, not in education",58.0
2020,Yukon,"Total, all education levels","Total, not in education",63.0
2021,Yukon,"Total, all education levels","Total, not in education",54.0
2022,Yukon,"Total, all education levels","Total, not in education",62.0
2004,Yukon,"Total, all education levels","Employed, not in education",41.0
2005,Yukon,"Total, all education levels","Employed, not in education",47.0
2006,Yukon,"Total, all education levels","Employed, not in education",48.0
2007,Yukon,"Total, all education levels","Employed, not in education",46.0
2008,Yukon,"Total, all education levels","Employed, not in education",47.0
2009,Yukon,"Total, all education levels","Employed, not in education",50.0
2010,Yukon,"Total, all education levels","Employed, not in education",44.0
2011,Yukon,"Total, all education levels","Employed, not in education",49.0
2012,Yukon,"Total, all education levels","Employed, not in education",50.0
2013,Yukon,"Total, all education levels","Employed, not in education",50.0
2014,Yukon,"Total, all education levels","Employed, not in education",53.0
2015,Yukon,"Total, all education levels","Employed, not in education",52.0
2016,Yukon,"Total, all education levels","Employed, not in education",49.0
2017,Yukon,"Total, all education levels","Employed, not in education",49.0
2018,Yukon,"Total, all education levels","Employed, not in education",51.0
2019,Yukon,"Total, all education levels","Employed, not in education",47.0
2020,Yukon,"Total, all education levels","Employed, not in education",48.0
2021,Yukon,"Total, all education levels","Employed, not in education",37.0
2022,Yukon,"Total, all education levels","Employed, not in education",52.0
2004,Yukon,"Total, all education levels","Sub-total, not in employment, education or training (NEET)",14.0
2005,Yukon,"Total, all education levels","Sub-total, not in employment, education or training (NEET)",14.0
2006,Yukon,"Total, all education levels","Sub-total, not in employment, education or training (NEET)",13.0
2007,Yukon,"Total, all education levels","Sub-total, not in employment, education or training (NEET)",15.0
2008,Yukon,"Total, all education levels","Sub-total, not in employment, education or training (NEET)",15.0
2009,Yukon,"Total, all education levels","Sub-total, not in employment, education or training (NEET)",18.0
2010,Yukon,"Total, all education levels","Sub-total, not in employment, education or training (NEET)",19.0
2011,Yukon,"Total, all education levels","Sub-total, not in employment, education or training (NEET)",18.0
2012,Yukon,"Total, all education levels","Sub-total, not in employment, education or training (NEET)",17.0
2013,Yukon,"Total, all education levels","Sub-total, not in employment, education or training (NEET)",15.0
2014,Yukon,"Total, all education levels","Sub-total, not in employment, education or training (NEET)",13.0
2015,Yukon,"Total, all education levels","Sub-total, not in employment, education or training (NEET)",11.0
2016,Yukon,"Total, all education levels","Sub-total, not in employment, education or training (NEET)",15.0
2017,Yukon,"Total, all education levels","Sub-total, not in employment, education or training (NEET)",15.0
2018,Yukon,"Total, all education levels","Sub-total, not in employment, education or training (NEET)",15.0
2019,Yukon,"Total, all education levels","Sub-total, not in employment, education or training (NEET)",10.0
2020,Yukon,"Total, all education levels","Sub-total, not in employment, education or training (NEET)",14.0
2021,Yukon,"Total, all education levels","Sub-total, not in employment, education or training (NEET)",17.0
2022,Yukon,"Total, all education levels","Sub-total, not in employment, education or training (NEET)",11.0
2004,Northwest Territories,"Total, all education levels","Total, in education and not in education",100.0
2005,Northwest Territories,"Total, all education levels","Total, in education and not in education",100.0
2006,Northwest Territories,"Total, all education levels","Total, in education and not in education",100.0
2007,Northwest Territories,"Total, all education levels","Total, in education and not in education",100.0
2008,Northwest Territories,"Total, all education levels","Total, in education and not in education",100.0
2009,Northwest Territories,"Total, all education levels","Total, in education and not in education",100.0
2010,Northwest Territories,"Total, all education levels","Total, in education and not in education",100.0
2011,Northwest Territories,"Total, all education levels","Total, in education and not in education",100.0
2012,Northwest Territories,"Total, all education levels","Total, in education and not in education",100.0
2013,Northwest Territories,"Total, all education levels","Total, in education and not in education",100.0
2014,Northwest Territories,"Total, all education levels","Total, in education and not in education",100.0
2015,Northwest Territories,"Total, all education levels","Total, in education and not in education",100.0
2016,Northwest Territories,"Total, all education levels","Total, in education and not in education",100.0
2017,Northwest Territories,"Total, all education levels","Total, in education and not in education",100.0
2018,Northwest Territories,"Total, all education levels","Total, in education and not in education",100.0
2019,Northwest Territories,"Total, all education levels","Total, in education and not in education",100.0
2020,Northwest Territories,"Total, all education levels","Total, in education and not in education",100.0
2021,Northwest Territories,"Total, all education levels","Total, in education and not in education",100.0
2022,Northwest Territories,"Total, all education levels","Total, in education and not in education",100.0
2004,Northwest Territories,"Total, all education levels","Total, in education",37.0
2005,Northwest Territories,"Total, all education levels","Total, in education",33.0
2006,Northwest Territories,"Total, all education levels","Total, in education",35.0
2007,Northwest Territories,"Total, all education levels","Total, in education",38.0
2008,Northwest Territories,"Total, all education levels","Total, in education",36.0
2009,Northwest Territories,"Total, all education levels","Total, in education",34.0
2010,Northwest Territories,"Total, all education levels","Total, in education",39.0
2011,Northwest Territories,"Total, all education levels","Total, in education",37.0
2012,Northwest Territories,"Total, all education levels","Total, in education",39.0
2013,Northwest Territories,"Total, all education levels","Total, in education",35.0
2014,Northwest Territories,"Total, all education levels","Total, in education",39.0
2015,Northwest Territories,"Total, all education levels","Total, in education",39.0
2016,Northwest Territories,"Total, all education levels","Total, in education",30.0
2017,Northwest Territories,"Total, all education levels","Total, in education",35.0
2018,Northwest Territories,"Total, all education levels","Total, in education",33.0
2019,Northwest Territories,"Total, all education levels","Total, in education",39.0
2020,Northwest Territories,"Total, all education levels","Total, in education",39.0
2021,Northwest Territories,"Total, all education levels","Total, in education",38.0
2022,Northwest Territories,"Total, all education levels","Total, in education",31.0
2004,Northwest Territories,"Total, all education levels","Employed, in education",8.0
2005,Northwest Territories,"Total, all education levels","Employed, in education",9.0
2006,Northwest Territories,"Total, all education levels","Employed, in education",11.0
2007,Northwest Territories,"Total, all education levels","Employed, in education",12.0
2008,Northwest Territories,"Total, all education levels","Employed, in education",9.0
2009,Northwest Territories,"Total, all education levels","Employed, in education",6.0
2010,Northwest Territories,"Total, all education levels","Employed, in education",8.0
2011,Northwest Territories,"Total, all education levels","Employed, in education",9.0
2012,Northwest Territories,"Total, all education levels","Employed, in education",10.0
2013,Northwest Territories,"Total, all education levels","Employed, in education",11.0
2014,Northwest Territories,"Total, all education levels","Employed, in education",11.0
2015,Northwest Territories,"Total, all education levels","Employed, in education",9.0
2016,Northwest Territories,"Total, all education levels","Employed, in education",9.0
2017,Northwest Territories,"Total, all education levels","Employed, in education",9.0
2018,Northwest Territories,"Total, all education levels","Employed, in education",10.0
2019,Northwest Territories,"Total, all education levels","Employed, in education",14.0
2020,Northwest Territories,"Total, all education levels","Employed, in education",9.0
2021,Northwest Territories,"Total, all education levels","Employed, in education",14.0
2022,Northwest Territories,"Total, all education levels","Employed, in education",12.0
2004,Northwest Territories,"Total, all education levels","Total, not in education",63.0
2005,Northwest Territories,"Total, all education levels","Total, not in education",67.0
2006,Northwest Territories,"Total, all education levels","Total, not in education",65.0
2007,Northwest Territories,"Total, all education levels","Total, not in education",62.0
2008,Northwest Territories,"Total, all education levels","Total, not in education",64.0
2009,Northwest Territories,"Total, all education levels","Total, not in education",66.0
2010,Northwest Territories,"Total, all education levels","Total, not in education",61.0
2011,Northwest Territories,"Total, all education levels","Total, not in education",63.0
2012,Northwest Territories,"Total, all education levels","Total, not in education",61.0
2013,Northwest Territories,"Total, all education levels","Total, not in education",65.0
2014,Northwest Territories,"Total, all education levels","Total, not in education",61.0
2015,Northwest Territories,"Total, all education levels","Total, not in education",61.0
2016,Northwest Territories,"Total, all education levels","Total, not in education",70.0
2017,Northwest Territories,"Total, all education levels","Total, not in education",65.0
2018,Northwest Territories,"Total, all education levels","Total, not in education",67.0
2019,Northwest Territories,"Total, all education levels","Total, not in education",61.0
2020,Northwest Territories,"Total, all education levels","Total, not in education",61.0
2021,Northwest Territories,"Total, all education levels","Total, not in education",62.0
2022,Northwest Territories,"Total, all education levels","Total, not in education",69.0
2004,Northwest Territories,"Total, all education levels","Employed, not in education",49.0
2005,Northwest Territories,"Total, all education levels","Employed, not in education",48.0
2006,Northwest Territories,"Total, all education levels","Employed, not in education",49.0
2007,Northwest Territories,"Total, all education levels","Employed, not in education",46.0
2008,Northwest Territories,"Total, all education levels","Employed, not in education",47.0
2009,Northwest Territories,"Total, all education levels","Employed, not in education",46.0
2010,Northwest Territories,"Total, all education levels","Employed, not in education",40.0
2011,Northwest Territories,"Total, all education levels","Employed, not in education",45.0
2012,Northwest Territories,"Total, all education levels","Employed, not in education",43.0
2013,Northwest Territories,"Total, all education levels","Employed, not in education",46.0
2014,Northwest Territories,"Total, all education levels","Employed, not in education",45.0
2015,Northwest Territories,"Total, all education levels","Employed, not in education",43.0
2016,Northwest Territories,"Total, all education levels","Employed, not in education",51.0
2017,Northwest Territories,"Total, all education levels","Employed, not in education",45.0
2018,Northwest Territories,"Total, all education levels","Employed, not in education",45.0
2019,Northwest Territories,"Total, all education levels","Employed, not in education",40.0
2020,Northwest Territories,"Total, all education levels","Employed, not in education",40.0
2021,Northwest Territories,"Total, all education levels","Employed, not in education",40.0
2022,Northwest Territories,"Total, all education levels","Employed, not in education",49.0
2004,Northwest Territories,"Total, all education levels","Sub-total, not in employment, education or training (NEET)",14.0
2005,Northwest Territories,"Total, all education levels","Sub-total, not in employment, education or training (NEET)",19.0
2006,Northwest Territories,"Total, all education levels","Sub-total, not in employment, education or training (NEET)",15.0
2007,Northwest Territories,"Total, all education levels","Sub-total, not in employment, education or training (NEET)",15.0
2008,Northwest Territories,"Total, all education levels","Sub-total, not in employment, education or training (NEET)",17.0
2009,Northwest Territories,"Total, all education levels","Sub-total, not in employment, education or training (NEET)",20.0
2010,Northwest Territories,"Total, all education levels","Sub-total, not in employment, education or training (NEET)",21.0
2011,Northwest Territories,"Total, all education levels","Sub-total, not in employment, education or training (NEET)",18.0
2012,Northwest Territories,"Total, all education levels","Sub-total, not in employment, education or training (NEET)",18.0
2013,Northwest Territories,"Total, all education levels","Sub-total, not in employment, education or training (NEET)",19.0
2014,Northwest Territories,"Total, all education levels","Sub-total, not in employment, education or training (NEET)",17.0
2015,Northwest Territories,"Total, all education levels","Sub-total, not in employment, education or training (NEET)",19.0
2016,Northwest Territories,"Total, all education levels","Sub-total, not in employment, education or training (NEET)",20.0
2017,Northwest Territories,"Total, all education levels","Sub-total, not in employment, education or training (NEET)",19.0
2018,Northwest Territories,"Total, all education levels","Sub-total, not in employment, education or training (NEET)",22.0
2019,Northwest Territories,"Total, all education levels","Sub-total, not in employment, education or training (NEET)",21.0
2020,Northwest Territories,"Total, all education levels","Sub-total, not in employment, education or training (NEET)",21.0
2021,Northwest Territories,"Total, all education levels","Sub-total, not in employment, education or training (NEET)",22.0
2022,Northwest Territories,"Total, all education levels","Sub-total, not in employment, education or training (NEET)",20.0
2005,Nunavut,"Total, all education levels","Total, in education and not in education",100.0
2006,Nunavut,"Total, all education levels","Total, in education and not in education",100.0
2007,Nunavut,"Total, all education levels","Total, in education and not in education",100.0
2008,Nunavut,"Total, all education levels","Total, in education and not in education",100.0
2009,Nunavut,"Total, all education levels","Total, in education and not in education",100.0
2010,Nunavut,"Total, all education levels","Total, in education and not in education",100.0
2011,Nunavut,"Total, all education levels","Total, in education and not in education",100.0
2012,Nunavut,"Total, all education levels","Total, in education and not in education",100.0
2013,Nunavut,"Total, all education levels","Total, in education and not in education",100.0
2014,Nunavut,"Total, all education levels","Total, in education and not in education",100.0
2015,Nunavut,"Total, all education levels","Total, in education and not in education",100.0
2016,Nunavut,"Total, all education levels","Total, in education and not in education",100.0
2017,Nunavut,"Total, all education levels","Total, in education and not in education",100.0
2018,Nunavut,"Total, all education levels","Total, in education and not in education",100.0
2019,Nunavut,"Total, all education levels","Total, in education and not in education",100.0
2020,Nunavut,"Total, all education levels","Total, in education and not in education",100.0
2021,Nunavut,"Total, all education levels","Total, in education and not in education",100.0
2022,Nunavut,"Total, all education levels","Total, in education and not in education",100.0
2005,Nunavut,"Total, all education levels","Total, in education",32.0
2006,Nunavut,"Total, all education levels","Total, in education",33.0
2007,Nunavut,"Total, all education levels","Total, in education",33.0
2008,Nunavut,"Total, all education levels","Total, in education",31.0
2009,Nunavut,"Total, all education levels","Total, in education",32.0
2010,Nunavut,"Total, all education levels","Total, in education",35.0
2011,Nunavut,"Total, all education levels","Total, in education",32.0
2012,Nunavut,"Total, all education levels","Total, in education",29.0
2013,Nunavut,"Total, all education levels","Total, in education",27.0
2014,Nunavut,"Total, all education levels","Total, in education",26.0
2015,Nunavut,"Total, all education levels","Total, in education",27.0
2016,Nunavut,"Total, all education levels","Total, in education",28.0
2017,Nunavut,"Total, all education levels","Total, in education",25.0
2018,Nunavut,"Total, all education levels","Total, in education",29.0
2019,Nunavut,"Total, all education levels","Total, in education",32.0
2020,Nunavut,"Total, all education levels","Total, in education",30.0
2021,Nunavut,"Total, all education levels","Total, in education",31.0
2022,Nunavut,"Total, all education levels","Total, in education",26.0
2005,Nunavut,"Total, all education levels","Employed, in education",4.0
2006,Nunavut,"Total, all education levels","Employed, in education",7.0
2007,Nunavut,"Total, all education levels","Employed, in education",9.0
2008,Nunavut,"Total, all education levels","Employed, in education",7.0
2009,Nunavut,"Total, all education levels","Employed, in education",5.0
2010,Nunavut,"Total, all education levels","Employed, in education",6.0
2011,Nunavut,"Total, all education levels","Employed, in education",8.0
2012,Nunavut,"Total, all education levels","Employed, in education",5.0
2013,Nunavut,"Total, all education levels","Employed, in education",5.0
2014,Nunavut,"Total, all education levels","Employed, in education",5.0
2015,Nunavut,"Total, all education levels","Employed, in education",4.0
2016,Nunavut,"Total, all education levels","Employed, in education",5.0
2017,Nunavut,"Total, all education levels","Employed, in education",4.0
2018,Nunavut,"Total, all education levels","Employed, in education",6.0
2019,Nunavut,"Total, all education levels","Employed, in education",6.0
2020,Nunavut,"Total, all education levels","Employed, in education",5.0
2021,Nunavut,"Total, all education levels","Employed, in education",4.0
2022,Nunavut,"Total, all education levels","Employed, in education",7.0
2005,Nunavut,"Total, all education levels","Total, not in education",68.0
2006,Nunavut,"Total, all education levels","Total, not in education",67.0
2007,Nunavut,"Total, all education levels","Total, not in education",67.0
2008,Nunavut,"Total, all education levels","Total, not in education",69.0
2009,Nunavut,"Total, all education levels","Total, not in education",68.0
2010,Nunavut,"Total, all education levels","Total, not in education",65.0
2011,Nunavut,"Total, all education levels","Total, not in education",68.0
2012,Nunavut,"Total, all education levels","Total, not in education",71.0
2013,Nunavut,"Total, all education levels","Total, not in education",73.0
2014,Nunavut,"Total, all education levels","Total, not in education",74.0
2015,Nunavut,"Total, all education levels","Total, not in education",73.0
2016,Nunavut,"Total, all education levels","Total, not in education",72.0
2017,Nunavut,"Total, all education levels","Total, not in education",75.0
2018,Nunavut,"Total, all education levels","Total, not in education",71.0
2019,Nunavut,"Total, all education levels","Total, not in education",68.0
2020,Nunavut,"Total, all education levels","Total, not in education",70.0
2021,Nunavut,"Total, all education levels","Total, not in education",69.0
2022,Nunavut,"Total, all education levels","Total, not in education",74.0
2005,Nunavut,"Total, all education levels","Employed, not in education",36.0
